Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
28,306.3436921735478,231.47570244837453,0.023681640625,0.0283203125,0.01904296875,2584,0.0002758432246324271,36,0.0002758432246324271,0,0.0002758432246324271,0.0002758432246324271,27:0.0017382622067735887;29:0.0027558907868227844,27:68;29:68,27:0.0017879679360993384;29:0.003004408291474442,0.023681640625,Yes
29,109.84048248709848,129.50557957950204,0.017578125,0.03271484375,0.00244140625,2584,0.0005429865322162445,36,0.0005429865322162445,0,0.0005429865322162445,0.0005429865322162445,38:0.002271082026468474;28:0.0027558907868227844;30:0.0032954264121406174,38:68;28:68;30:68,38:0.0028821069668432953;28:0.003004408291474442;30:0.003429689378632278,0.017578125,Yes
30,305.3821240554723,77.04632347054608,0.0048828125,0.00732421875,0.00244140625,2584,0.00040726166319360286,36,0.00040726166319360286,0,0.00040726166319360286,0.00040726166319360286,31:0.003607454990146891;29:0.0032954264121406174,31:68;29:68,31:0.003405623100270788;29:0.003429689378632278,0.0048828125,Yes
31,155.40285342088762,58.10957212499953,0.009521484375,0.01416015625,0.0048828125,2584,0.00031783892265429317,36,0.00031783892265429317,0,0.00031783892265429317,0.00031783892265429317,30:0.003607454990146891;32:0.00336899463295115;18:0.002498753506527285,30:68;32:68;18:68,30:0.003405623100270788;32:0.0031000849112818307;18:0.004270163536363947,0.009521484375,Yes
32,332.382450191814,53.26847088672976,0.0068359375,0.00732421875,0.00634765625,2584,0.00045948988237395395,36,0.00045948988237395395,0,0.00045948988237395395,0.00045948988237395395,31:0.00336899463295115;33:0.00544527061162231,31:68;33:68,31:0.0031000849112818307;33:0.0030490229203475605,0.0068359375,Yes
33,167.06910499784175,182.69083543490746,0.0068359375,0.01025390625,0.00341796875,2584,0.00026206405081442483,36,0.00026206405081442483,0,0.00026206405081442483,0.00026206405081442483,39:0.0020268288730750927;32:0.00544527061162231;34:0.0020866531890349205,39:68;32:68;34:68,32:0.0030490229203475605;34:0.001634510175468451,0.0068359375,Yes
34,80.04317034095247,52.319530114471284,0.031982421875,0.0625,0.00146484375,2584,0.00030914062951732283,36,0.00030914062951732283,0,0.00030914062951732283,0.00030914062951732283,33:0.0020866531890349205;35:0.0015619019015493951,33:68;35:68,33:0.001634510175468451;35:0.0014518647627514703,0.031982421875,Yes
35,440.280535788521,458.70434561183356,0.033935546875,0.041015625,0.02685546875,2584,0.00008882128662516328,36,0.00008882128662516328,0,0.00008882128662516328,0.00008882128662516328,19:0.001232572964628087;34:0.0015619019015493951,19:80;34:68,19:0.0016324579113472237;34:0.0014518647627514703,0.033935546875,Yes
36,144.04234123771877,44.77160678667966,0.012451171875,0.01806640625,0.0068359375,2584,0.002938352411470802,36,0.002938352411470802,0,0.002938352411470802,0.002938352411470802,41:0.006160116413056083;21:0.003875796997133113,41:68;21:68,41:0.008359425109142726;21:0.006291144341211946,0.012451171875,Yes
37,188.3922933992536,21.18219121602363,0.012451171875,0.0146484375,0.01025390625,2584,0.0005511872368795109,36,0.0005511872368795109,0,0.0005511872368795109,0.0005511872368795109,45:0.006485199121863433;25:0.00454666162433634,45:68;25:68,45:0.004064639431187428;25:0.003389406533251066,0.012451171875,Yes
